INVITE
-----------------------
{'user_id': 4, 'name': 'Ian Kehoe', 'latitude': 37.7451022, 'longitude': -122.238335, 'Distance': 16.018}
{'user_id': 5, 'name': 'Nora Dempsey', 'latitude': 37.5302756, 'longitude': -122.4097222, 'Distance': 28.503}
{'user_id': 6, 'name': 'Theresa Enright', 'latitude': 37.3699599, 'longitude': -122.3705202, 'Distance': 46.478}
{'user_id': 8, 'name': 'Eoin Ahearn', 'latitude': 36.9894797, 'longitude': -122.41671, 'Distance': 88.636}
{'user_id': 11, 'name': 'Richard Finnegan', 'latitude': 37.008769, 'longitude': -122.1056711, 'Distance': 90.647}
{'user_id': 12, 'name': 'Christina McArdle', 'latitude': 36.986375, 'longitude': -122.043701, 'Distance': 94.769}
{'user_id': 13, 'name': 'Olive Ahearn', 'latitude': 37.0, 'longitude': -122.0, 'Distance': 94.765}
{'user_id': 15, 'name': 'Michael Ahearn', 'latitude': 36.966, 'longitude': -122.463, 'Distance': 91.354}
{'user_id': 17, 'name': 'Patricia Cahill', 'latitude': 38.180238, 'longitude': -121.920898, 'Distance': 61.439}
{'user_id': 23, 'name': 'Eoin Gallagher', 'latitude': 38.080556, 'longitude': -122.361944, 'Distance': 32.99}
{'user_id': 24, 'name': 'Rose Enright', 'latitude': 38.133333, 'longitude': -122.433333, 'Distance': 38.597}
{'user_id': 26, 'name': 'Stephen McArdle', 'latitude': 37.538056, 'longitude': -123.053889, 'Distance': 62.832}
{'user_id': 29, 'name': 'Oliver Ahearn', 'latitude': 37.74452, 'longitude': -123.11167, 'Distance': 61.606}
{'user_id': 30, 'name': 'Nick Enright', 'latitude': 37.761389, 'longitude': -123.2875, 'Distance': 76.927}
{'user_id': 31, 'name': 'Alan Behan', 'latitude': 37.1489345, 'longitude': -122.8422408, 'Distance': 80.397}
{'user_id': 39, 'name': 'Lisa Ahearn', 'latitude': 37.0033946, 'longitude': -122.3877505, 'Distance': 87.117}

NO INVITE
-----------------------
{'user_id': 1, 'name': 'Alice Cahill', 'latitude': 35.92893, 'longitude': -120.27699, 'Distance': 280.657}
{'user_id': 2, 'name': 'Ian McArdle', 'latitude': 36.8856167, 'longitude': -118.4240951, 'Distance': 366.566}
{'user_id': 3, 'name': 'Jack Enright', 'latitude': 36.3191841, 'longitude': -125.5072391, 'Distance': 319.396}
{'user_id': 7, 'name': 'Frank Kehoe', 'latitude': 37.4692815, 'longitude': -125.436036, 'Distance': 268.555}
{'user_id': 9, 'name': 'Jack Dempsey', 'latitude': 35.2559432, 'longitude': -123.1048927, 'Distance': 288.109}
{'user_id': 10, 'name': 'Georgina Gallagher', 'latitude': 36.240382, 'longitude': -122.972413, 'Distance': 178.965}
{'user_id': 14, 'name': 'Helen Cahill', 'latitude': 35.999447, 'longitude': -125.742744, 'Distance': 356.585}
{'user_id': 16, 'name': 'Ian Larkin', 'latitude': 36.366037, 'longitude': -124.179118, 'Distance': 222.487}
{'user_id': 18, 'name': 'Bob Larkin', 'latitude': 36.228056, 'longitude': -7.915833, 'Distance': 9383.602}
{'user_id': 19, 'name': 'Enid Cahill', 'latitude': 55.033, 'longitude': -124.112, 'Distance': 1921.987}
{'user_id': 20, 'name': 'Enid Enright', 'latitude': 37.521111, 'longitude': -125.831111, 'Distance': 302.354}
{'user_id': 21, 'name': 'David Ahearn', 'latitude': 35.802, 'longitude': -125.442, 'Distance': 348.463}
{'user_id': 22, 'name': 'Charlie McArdle', 'latitude': 54.374208, 'longitude': -124.371639, 'Distance': 1850.451}
{'user_id': 25, 'name': 'David Behan', 'latitude': 36.833502, 'longitude': -124.522366, 'Distance': 214.559}
{'user_id': 25, 'name': 'Unique Name', 'latitude': 34.87656, 'longitude': -122.435367, 'Distance': 323.588}
{'user_id': 27, 'name': 'Enid Gallagher', 'latitude': 39.1225, 'longitude': -121.143333, 'Distance': 185.16}
{'user_id': 28, 'name': 'Charlie Halligan', 'latitude': 37.807778, 'longitude': -123.714444, 'Distance': 114.388}
{'user_id': 41, 'name': 'David Behan', 'latitude': 34.2158, 'longitude': -123.45678, 'Distance': 408.0}
